color,director_name,duration,gross_million_USD,genres,movie_title,title_year,language,country,budget_million_USD,imdb_score,actors,movie_facebook_likes_scaled,imdb_score_norm,duration_hours,duration_hours_norm,imdb_score-binned,movie_facebook_likes_scaled-binned
Color,Martin Scorsese,240.0,116.866727,Biography|Comedy|Crime|Drama,The Wolf of Wall Street,2013,English,USA,100.0,8,"Leonardo DiCaprio,Matthew McConaughey,Jon Favreau",138,0.9318181818181817,4.0,1.0,High,Medium
Color,Shane Black,195.0,408.992272,Action|Adventure|Sci-Fi,Iron Man 3,2013,English,USA,200.0,7,"Robert Downey Jr.,Jon Favreau,Don Cheadle",95,0.8181818181818181,3.25,0.8125,High,Low
Color ,Quentin Tarantino,187.0,54.116191,Crime|Drama|Mystery|Thriller|Western,The Hateful Eight,2015,English,USA,44.0,7,"Craig Stark,Jennifer Jason Leigh,ZoÃ« Bell",114,0.8977272727272727,3.1166666666666667,0.7791666666666667,High,Low
Color,Kenneth Lonergan,186.0,0.046495,Drama,Margaret,2011,English,USA,14.0,6,"Matt Damon,Kieran Culkin,John Gallagher Jr.",0,0.7386363636363635,3.1,0.775,Medium,Low
Color,Peter Jackson,186.0,258.355354,Adventure|Fantasy,The Hobbit: The Desolation of Smaug,2013,English,USA,225.0,7,"Aidan Turner,Adam Brown,James Nesbitt",83,0.8977272727272727,3.1,0.775,High,Low
Color,Joss Whedon,183.0,330.249062,Action|Adventure|Sci-Fi,Batman v Superman: Dawn of Justice,2012,English,USA,250.0,6,"Henry Cavill,Lauren Cohan,Alan D. Purwin",197,0.7840909090909091,3.05,0.7625,Medium,Medium
Color,Peter Jackson,144.0,303.001229,Adventure|Fantasy,The Hobbit: An Unexpected Journey,2012,English,USA,180.0,7,"Aidan Turner,Adam Brown,James Nesbitt",166,0.8977272727272727,2.4,0.6,High,Medium
Color,Joss Whedon,173.0,623.279547,Action|Adventure|Sci-Fi,The Avengers,2012,English,USA,220.0,8,"Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson",123,0.9204545454545453,2.8833333333333333,0.7208333333333333,High,Medium
Color,Joss Whedon,173.0,623.279547,Action|Adventure|Sci-Fi,The Avengers,2012,English,USA,220.0,8,"Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson",123,0.9204545454545453,2.8833333333333333,0.7208333333333333,High,Medium
Color,Tom Tykwer,172.0,27.09858,Drama|Sci-Fi,Cloud Atlas,2012,English,Germany,102.0,7,"Tom Hanks,Jim Sturgess,Jim Broadbent",124,0.8157001044932077,2.8666666666666667,0.7166666666666667,High,Medium
Color,Denis Villeneuve,158.0,102.515793,Crime|Drama|Mystery|Thriller,The Girl with the Dragon Tattoo,2011,English,USA,90.0,7,"Robin Wright,Goran Visnjic,Joely Richardson",54,0.8863636363636362,2.6333333333333333,0.6583333333333333,High,Low
Color,Christopher Spencer,170.0,59.696176,Action|Adventure|Drama,Son of God,2014,English,USA,22.0,5,"Roma Downey,Amber Rose Revah,Darwin Shaw",15,0.6363636363636362,2.8333333333333335,0.7083333333333334,Low,Low
